nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_01269_13811	NA	cornflowerblue
GS1_SS_01270_18061	NA	lightpink
GS1_SS_01271_20665	NA	coral4
GS1_SS_01275_05539	NA	darkviolet
GS1_SS_01276_11748	NA	cornflowerblue
GS1_SS_01277_01672	NA	darkviolet
GS1_SS_01281_15648	NA	lavender
GS1_SS_01282_07801	NA	darkviolet
GS1_SS_01284_12339	NA	blue1
GS1_SS_01285_13478	NA	darkviolet
GS1_SS_01286_02930	NA	lavender
GS1_SS_01294_05868	NA	antiquewhite2
GS1_SS_01304_15041	NA	darkviolet
GS1_SS_01306_09932	NA	antiquewhite4
GS1_SS_01319_03948	NA	cornflowerblue
GS1_SS_01321_01595	NA	darkviolet
GS1_SS_01322_07564	NA	blue1
GS1_SS_01325_09206	NA	cornflowerblue
GS1_SS_01334_14491	NA	blue1
GS1_SS_01335_10053	NA	darkviolet
GS1_SS_01337_12629	NA	coral4
GS1_SS_01340_08381	NA	cornflowerblue
GS1_SS_01341_14030	NA	lavender
GS1_SS_01350_20189	NA	cornflowerblue
GS1_SS_01351_00224	NA	lavender
GS1_SS_01352_10488	NA	darkseagreen3
GS1_SS_01354_04804	NA	darkviolet
GS1_SS_01357_11847	NA	lightskyblue4
GS1_SS_01358_03545	NA	darkviolet
GS1_SS_01360_07946	NA	cornflowerblue
GS1_SS_01367_18099	NA	cornflowerblue
GS1_SS_01374_18339	NA	coral4
GS1_SS_01376_00735	NA	lavender
GS1_SS_01379_03627	NA	lavender
GS1_SS_01380_12152	NA	blue1
GS1_SS_01385_11387	NA	darkviolet
GS1_SS_01390_10375	NA	cornflowerblue
GS1_SS_01391_17677	NA	darkviolet
GS1_SS_01405_05608	NA	cornflowerblue
GS1_SS_01407_04820	NA	lightskyblue4
GS1_SS_01421_04732	NA	coral4
GS1_SS_01422_20757	NA	darkviolet
GS1_SS_01430_15391	NA	darkviolet
GS1_SS_01434_11119	NA	lavender
GS1_SS_01445_18781	NA	cornflowerblue
GS1_SS_01449_19451	NA	antiquewhite2
GS1_SS_01451_10785	NA	coral4
GS1_SS_01452_08910	NA	coral4
GS1_SS_01455_12201	NA	lightpink3
GS1_SS_01457_11427	NA	coral4
GS1_SS_01458_20328	NA	cornflowerblue
GS1_SS_01461_10574	NA	cornflowerblue
GS1_SS_01463_17788	NA	darkviolet
GS1_SS_01464_21708	NA	blue1
GS1_SS_01467_14671	NA	lavender
GS1_SS_01472_08636	NA	coral4
GS1_SS_01477_13555	NA	cornflowerblue
GS1_SS_01479_07758	NA	lavender
GS1_SS_01480_04983	NA	lavender
GS1_SS_01481_02430	NA	lightskyblue4
GS1_SS_01487_18305	NA	coral4
GS1_SS_01490_00648	NA	cornflowerblue
GS1_SS_01504_09011	NA	coral4
GS1_SS_01506_16498	NA	coral4
GS1_SS_01507_13588	NA	cornflowerblue
GS1_SS_01508_05779	NA	cornflowerblue
GS1_SS_01511_04253	NA	lavender
GS1_SS_01513_09896	NA	darkviolet
GS1_SS_01516_07154	NA	lavender
GS1_SS_01519_15323	NA	lightskyblue4
GS1_SS_01520_02572	NA	cornflowerblue
GS1_SS_01521_10425	NA	darkseagreen3
GS1_SS_01525_07217	NA	lavender
GS1_SS_01533_09963	NA	antiquewhite2
GS1_SS_01537_08831	NA	darkviolet
GS1_SS_01538_14068	NA	darkviolet
GS1_SS_01542_00623	NA	lightskyblue4
GS1_SS_01545_09045	NA	darkviolet
GS1_SS_01546_18902	NA	lavender
GS1_SS_01551_17710	NA	cornflowerblue
GS1_SS_01555_10051	NA	cornflowerblue
GS1_SS_01559_15829	NA	cornflowerblue
GS1_SS_01560_16953	NA	darkviolet
GS1_SS_01561_02979	NA	cornflowerblue
GS1_SS_01563_09073	NA	lightskyblue4
GS1_SS_01573_08120	NA	antiquewhite2
GS1_SS_01574_09658	NA	cornflowerblue
GS1_SS_01580_20234	NA	cornflowerblue
GS1_SS_01584_20255	NA	lavender
GS1_SS_01587_21894	NA	lavender
GS1_SS_01604_07882	NA	lavender
GS1_SS_01609_10536	NA	lavender
GS1_SS_01613_09470	NA	darkseagreen3
GS1_SS_01614_03308	NA	coral4
GS1_SS_01625_13527	NA	coral4
GS1_SS_01627_05730	NA	lavender
GS1_SS_01628_21556	NA	lavender
GS1_SS_01629_07084	NA	cornflowerblue
GS1_SS_01631_16293	NA	blue1
GS1_SS_01632_14426	NA	coral4
GS1_SS_01635_09392	NA	cornflowerblue
GS1_SS_01641_12417	NA	lavender
GS1_SS_01642_11956	NA	darkviolet
GS1_SS_01650_15003	NA	lightskyblue4
GS1_SS_01656_12376	NA	coral4
GS1_SS_01664_09745	NA	lightskyblue4
GS1_SS_01670_09961	NA	coral4
GS1_SS_01676_07341	NA	coral4
GS1_SS_01677_14995	NA	darkviolet
